club,attack_rating,defense_rating,team_strength
Lech Poznań,68.4,57.4,63.3
Raków Częstochowa,59.3,52.2,55.9
Jagiellonia Białystok,59.6,48.5,54.3
Legia Warszawa,53.8,53.2,53.5
Górnik Zabrze,54.1,51.0,52.6
Widzew Łódź,50.0,53.0,51.5
Cracovia,47.2,46.7,47.0
Korona Kielce,48.5,45.4,47.0
Pogoń Szczecin,50.9,42.4,46.8
Piast Gliwice,49.8,42.2,46.1
GKS Katowice,50.3,40.8,45.7
Zagłębie Lubin,48.0,43.0,45.6
Motor Lublin,50.7,36.9,44.1
Radomiak Radom,46.9,39.3,43.2
Wisła Kraków,45.8,38.2,42.1
Wisła Płock,42.9,38.7,40.8
Wieczysta Kraków,42.2,37.8,40.0
Śląsk Wrocław,42.0,36.3,39.2
