team,gw,opponent,is_home,date,kickoff_local,status,notes
Cracovia,1,Lech Poznań,False,2026-07-25,20:15,scheduled,nan
GKS Katowice,1,Wisła Kraków,False,2026-07-26,20:15,scheduled,nan
Górnik Zabrze,1,Śląsk Wrocław,True,2026-07-25,17:30,scheduled,nan
Jagiellonia Białystok,1,Korona Kielce,True,2026-07-25,14:45,scheduled,nan
Korona Kielce,1,Jagiellonia Białystok,False,2026-07-25,14:45,scheduled,nan
Lech Poznań,1,Cracovia,True,2026-07-25,20:15,scheduled,nan
Legia Warszawa,1,Pogoń Szczecin,False,2026-07-24,20:30,scheduled,nan
Motor Lublin,1,Widzew Łódź,False,2026-07-26,17:30,scheduled,nan
Piast Gliwice,1,Zagłębie Lubin,False,2026-07-27,19:00,scheduled,nan
Pogoń Szczecin,1,Legia Warszawa,True,2026-07-24,20:30,scheduled,nan
Radomiak Radom,1,Wieczysta Kraków,True,2026-07-24,18:00,scheduled,nan
Raków Częstochowa,1,Wisła Płock,True,2026-07-26,14:45,scheduled,nan
Widzew Łódź,1,Motor Lublin,True,2026-07-26,17:30,scheduled,nan
Wieczysta Kraków,1,Radomiak Radom,False,2026-07-24,18:00,scheduled,nan
Wisła Kraków,1,GKS Katowice,True,2026-07-26,20:15,scheduled,nan
Wisła Płock,1,Raków Częstochowa,False,2026-07-26,14:45,scheduled,nan
Zagłębie Lubin,1,Piast Gliwice,True,2026-07-27,19:00,scheduled,nan
Śląsk Wrocław,1,Górnik Zabrze,False,2026-07-25,17:30,scheduled,nan
Cracovia,2,Pogoń Szczecin,True,2026-08-03,19:00,scheduled,nan
GKS Katowice,2,Radomiak Radom,True,2026-08-02,20:15,scheduled,nan
Górnik Zabrze,2,Korona Kielce,False,2026-08-01,18:15,rescheduled,"Moved up from the original 20:15 local slot (still Matchweek 2, still Korona (H) v Górnik (A)); confirmed 2026-08-01, 18:15."
Jagiellonia Białystok,2,Motor Lublin,False,2026-07-31,20:30,scheduled,nan
Korona Kielce,2,Górnik Zabrze,True,2026-08-01,18:15,rescheduled,"Moved up from the original 20:15 local slot (still Matchweek 2, still Korona (H) v Górnik (A)); confirmed 2026-08-01, 18:15."
Lech Poznań,2,Wieczysta Kraków,False,2026-08-01,17:30,scheduled,nan
Legia Warszawa,2,Zagłębie Lubin,True,2026-08-02,14:45,scheduled,nan
Motor Lublin,2,Jagiellonia Białystok,True,2026-07-31,20:30,scheduled,nan
Piast Gliwice,2,Wisła Kraków,True,2026-08-01,14:45,scheduled,nan
Pogoń Szczecin,2,Cracovia,False,2026-08-03,19:00,scheduled,nan
Radomiak Radom,2,GKS Katowice,False,2026-08-02,20:15,scheduled,nan
Raków Częstochowa,2,Śląsk Wrocław,False,2026-08-02,17:30,scheduled,nan
Widzew Łódź,2,Wisła Płock,False,2026-07-31,18:00,scheduled,nan
Wieczysta Kraków,2,Lech Poznań,True,2026-08-01,17:30,scheduled,nan
Wisła Kraków,2,Piast Gliwice,False,2026-08-01,14:45,scheduled,nan
Wisła Płock,2,Widzew Łódź,True,2026-07-31,18:00,scheduled,nan
Zagłębie Lubin,2,Legia Warszawa,False,2026-08-02,14:45,scheduled,nan
Śląsk Wrocław,2,Raków Częstochowa,True,2026-08-02,17:30,scheduled,nan
