player_id,name,club,position,price,xpts_gw1,xpts_gw2,xpts_gw3,xpts_gw4,xpts_gw5,status
1,Piotr Dąbrowski,Lech Poznań,GK,5.8,3.14,2.53,2.94,3.21,2.63,ok
2,Filip Wróbel,Lech Poznań,GK,5.9,3.05,2.62,3.06,3.39,3.12,ok
3,Antoni Wójcik,Lech Poznań,DEF,7.7,3.69,2.72,3.56,2.97,2.82,ok
4,Mateusz Pietrzak,Lech Poznań,DEF,6.0,2.16,2.44,2.48,2.29,2.42,ok
5,Filip Pietrzak,Lech Poznań,DEF,4.4,1.59,1.48,1.43,1.55,1.49,ok
6,Tomasz Pawłowski,Lech Poznań,DEF,9.0,3.73,4.18,4.11,4.59,4.39,ok
7,Tomasz Kołodziej,Lech Poznań,DEF,10.2,4.47,4.86,4.05,4.59,3.87,ok
8,Rafał Kowalczyk,Lech Poznań,DEF,8.9,4.42,3.68,4.18,4.05,4.03,ok
9,Łukasz Kowalczyk,Lech Poznań,MID,12.8,5.07,5.48,4.23,5.56,5.44,ok
10,Rafał Górski,Lech Poznań,MID,7.4,2.42,1.9,2.25,2.01,1.97,ok
11,Kacper Grabowski,Lech Poznań,MID,12.1,3.94,4.21,5.14,3.65,4.31,ok
12,Oskar Nowicki,Lech Poznań,MID,13.2,6.14,4.83,5.13,5.01,6.16,ok
13,Adam Dąbrowski,Lech Poznań,MID,5.4,1.58,1.26,1.67,1.34,1.39,ok
14,Bartosz Walczak,Lech Poznań,MID,9.8,3.17,2.92,3.9,4.03,3.61,ok
15,Sebastian Wójcik,Lech Poznań,FWD,9.6,3.78,3.41,3.25,3.05,3.05,ok
16,Damian Sikora,Lech Poznań,FWD,5.8,1.22,1.2,1.29,1.15,1.12,ok
17,Bartosz Jabłoński,Lech Poznań,FWD,6.2,1.32,1.8,1.65,1.39,1.44,ok
18,Krzysztof Kołodziej,Lech Poznań,FWD,8.7,2.86,3.02,2.45,2.47,2.08,ok
19,Mateusz Wieczorek,Legia Warszawa,GK,7.4,4.6,4.38,3.99,4.93,4.19,ok
20,Grzegorz Jabłoński,Legia Warszawa,GK,8.2,4.9,5.41,4.59,5.6,5.22,ok
21,Nikodem Kozłowski,Legia Warszawa,DEF,6.3,2.41,2.38,2.48,2.47,2.6,ok
22,Patryk Mazur,Legia Warszawa,DEF,9.1,4.48,3.77,4.17,3.95,3.51,ok
23,Jakub Nowicki,Legia Warszawa,DEF,7.0,2.86,2.62,3.04,2.96,2.63,ok
24,Krzysztof Kamiński,Legia Warszawa,DEF,5.4,1.78,1.79,2.04,2.21,2.17,ok
25,Damian Krawczyk,Legia Warszawa,DEF,9.1,4.12,4.47,4.29,4.25,3.88,ok
26,Dawid Wróbel,Legia Warszawa,DEF,9.0,4.36,4.59,3.81,3.81,4.56,ok
27,Sebastian Kozłowski,Legia Warszawa,MID,6.3,1.57,2.05,1.99,1.57,2.0,ok
28,Bartosz Kubiak,Legia Warszawa,MID,10.0,3.66,3.56,2.73,3.59,2.78,ok
29,Maksymilian Mazur,Legia Warszawa,MID,12.7,4.24,4.32,4.22,4.91,4.25,ok
30,Paweł Szymański,Legia Warszawa,MID,5.2,1.8,1.68,1.76,1.61,1.77,ok
31,Miłosz Ostrowski,Legia Warszawa,MID,5.9,1.66,1.87,1.81,1.71,1.81,ok
32,Bartosz Jankowski,Legia Warszawa,MID,6.0,1.6,1.56,1.93,1.84,1.81,ok
33,Patryk Lewandowski,Legia Warszawa,FWD,13.8,4.41,4.08,4.21,5.02,4.05,ok
34,Miłosz Kowalczyk,Legia Warszawa,FWD,9.5,3.02,3.03,3.25,2.96,3.06,ok
35,Damian Ostrowski,Legia Warszawa,FWD,14.4,6.54,6.62,5.17,5.95,6.62,ok
36,Karol Górski,Legia Warszawa,FWD,6.5,1.59,1.37,1.47,1.37,1.73,ok
