player_id,name,club,position,price,status,xmins,xpts_gw1,xpts_gw2,xpts_gw3,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7,xpts_gw8
10,Kamil Pestka,Wieczysta Kraków,DEF,1.7,ok,28.4,1.1,0.82,1.03,1.03,1.03,1.12,1.15,1.01
20,Damian Dąbrowski,Zagłębie Lubin,MID,1.7,ok,44.8,1.84,1.57,1.56,1.99,1.79,1.83,1.86,1.85
23,Karol Niemczycki,Śląsk Wrocław,GK,1.8,ok,34.5,0.73,0.75,0.97,0.86,0.9,0.73,0.68,0.95
86,Taras Romanczuk,Jagiellonia Białystok,MID,1.9,ok,87.5,3.24,3.2,3.09,3.26,2.66,2.83,3.53,3.27
87,Damian Szymański,Legia Warszawa,MID,1.8,ok,85.0,3.27,3.47,3.24,3.59,3.29,3.75,3.43,3.23
88,Dawid Szymonowicz,Wieczysta Kraków,DEF,1.7,ok,28.4,1.1,0.82,1.03,1.03,1.03,1.12,1.15,1.01
95,Karol Świderski,Widzew Łódź,FWD,2.6,ok,29.0,2.04,1.86,1.61,1.81,1.96,1.53,1.98,1.54
118,Michał Mokrzycki,Śląsk Wrocław,MID,1.6,ok,66.0,2.24,2.31,2.51,2.43,2.37,2.21,2.24,2.52
128,Łukasz Sekulski,Wisła Płock,FWD,2.1,ok,31.0,1.32,1.42,1.58,1.31,1.52,1.54,1.49,1.52
130,Jasmin Burić,Zagłębie Lubin,GK,1.9,ok,48.0,1.49,1.21,1.1,1.7,1.43,1.46,1.56,1.48
138,Robert Gumny,Lech Poznań,DEF,1.8,ok,66.0,3.12,3.22,3.13,3.22,2.75,2.75,2.7,2.66
147,Kamil Jóźwiak,Jagiellonia Białystok,MID,1.9,ok,63.0,2.61,2.61,2.46,2.64,2.12,2.26,2.88,2.65
166,Rafał Janicki,Górnik Zabrze,DEF,2.0,ok,87.5,3.94,3.23,3.41,3.74,2.7,3.5,3.27,2.57
184,Rafał Wolski,Radomiak Radom,MID,2.2,ok,77.0,3.96,3.49,3.32,3.08,3.66,3.54,3.12,3.67
195,Bartosz Bereszyński,Motor Lublin,DEF,1.9,ok,85.0,2.38,2.33,2.51,2.87,2.57,2.86,2.49,2.03
239,Marcin Flis,Wisła Płock,DEF,1.7,ok,87.5,2.35,3.05,3.31,2.27,3.01,3.29,2.94,3.32
244,Radosław Murawski,Lech Poznań,MID,1.7,ok,30.0,1.49,1.53,1.53,1.54,1.41,1.34,1.37,1.34
256,Jakub Czerwiński,Piast Gliwice,DEF,1.7,ok,42.9,1.47,1.73,1.0,1.81,1.42,1.49,1.6,1.55
303,Mariusz Stępiński,Korona Kielce,FWD,2.2,ok,69.0,2.69,2.81,2.76,2.63,3.3,3.09,3.27,3.19
308,Kamil Dankowski,Wieczysta Kraków,DEF,1.6,ok,28.4,1.1,0.82,1.03,1.03,1.03,1.12,1.15,1.01
374,Alan Uryga,Wisła Kraków,DEF,1.6,ok,87.5,3.31,2.96,3.73,2.57,2.92,3.79,2.95,2.7
382,Dominik Hładun,Zagłębie Lubin,GK,1.7,ok,48.0,1.48,1.21,1.09,1.69,1.43,1.46,1.56,1.48
392,Filip Jagiełło,Lech Poznań,MID,1.8,ok,66.0,2.9,2.99,2.98,3.0,2.75,2.63,2.68,2.62
395,Jarosław Kubicki,Górnik Zabrze,MID,1.9,ok,44.5,2.48,2.08,2.23,2.39,1.89,2.29,2.06,1.87
402,Arkadiusz Woźniak,Zagłębie Lubin,MID,1.7,ok,7.2,0.42,0.35,0.35,0.45,0.4,0.41,0.42,0.42
423,Adrian Błąd,GKS Katowice,MID,1.7,ok,19.8,0.85,0.9,0.92,0.85,0.91,0.75,0.81,0.81
432,Grzegorz Tomasiewicz,Śląsk Wrocław,MID,1.7,ok,30.0,1.04,1.07,1.16,1.12,1.1,1.02,1.03,1.16
458,Arkadiusz Reca,Legia Warszawa,DEF,1.7,ok,14.0,0.67,0.73,0.67,0.76,0.68,0.8,0.7,0.68
480,Bartosz Nowak,GKS Katowice,MID,3.3,ok,87.5,4.5,4.71,4.87,4.52,4.8,3.82,4.23,4.21
563,Marcin Wasielewski,GKS Katowice,DEF,2.0,ok,63.0,2.29,2.45,2.63,2.15,2.59,1.84,2.09,2.13
587,Patryk Dziczek,Pogoń Szczecin,MID,1.9,ok,87.5,3.25,3.27,3.75,3.1,3.76,3.38,3.79,3.83
633,Mateusz Wdowiak,GKS Katowice,MID,1.8,ok,12.0,0.65,0.69,0.71,0.65,0.7,0.56,0.62,0.62
672,Tomasz Loska,Górnik Zabrze,GK,1.6,ok,36.8,1.47,1.23,1.28,1.4,1.03,1.31,1.25,0.98
681,Michał Nalepa,Zagłębie Lubin,DEF,1.7,ok,48.0,2.03,1.61,1.51,2.33,1.97,2.0,2.12,2.04
692,Zoran Arsenić,Legia Warszawa,DEF,1.8,ok,14.0,0.76,0.83,0.76,0.86,0.77,0.92,0.8,0.76
698,Alan Czerwiński,GKS Katowice,DEF,1.8,ok,33.0,1.28,1.37,1.46,1.21,1.44,1.04,1.18,1.2
701,Patryk Kun,Wisła Płock,DEF,1.7,ok,87.5,2.05,2.73,2.9,1.97,2.63,2.92,2.57,2.95
705,Damian Rasak,GKS Katowice,MID,1.7,ok,28.9,1.2,1.25,1.29,1.18,1.28,1.05,1.14,1.14
722,Karol Angielski,Pogoń Szczecin,FWD,1.8,ok,30.4,1.34,1.35,1.62,1.31,1.6,1.41,1.6,1.62
724,Zlatan Alomerović,Zagłębie Lubin,GK,1.8,ok,34.5,1.09,0.89,0.81,1.24,1.05,1.07,1.14,1.09
765,Jesús Imaz,Jagiellonia Białystok,MID,3.5,ok,87.5,4.21,4.3,3.92,4.3,3.37,3.61,4.74,4.33
774,Sebastian Bergier,Widzew Łódź,FWD,2.4,ok,87.5,5.95,5.44,4.67,5.24,5.72,4.43,5.74,4.45
790,František Plach,Piast Gliwice,GK,1.7,ok,48.0,1.37,1.59,0.91,1.68,1.34,1.34,1.47,1.42
791,Dawid Błanik,Korona Kielce,MID,2.2,ok,86.0,3.86,4.07,3.99,3.81,4.82,4.53,4.8,4.7
799,Paweł Bochniewicz,Górnik Zabrze,DEF,1.8,ok,24.7,1.32,1.08,1.15,1.26,0.92,1.19,1.09,0.88
813,Mateusz Żyro,Widzew Łódź,DEF,1.7,ok,8.5,0.49,0.47,0.39,0.47,0.49,0.38,0.5,0.4
827,Mateusz Grzybek,Zagłębie Lubin,DEF,1.9,ok,36.9,1.79,1.41,1.33,2.05,1.74,1.77,1.87,1.81
860,Wiktor Długosz,Korona Kielce,MID,1.8,ok,87.5,3.21,3.4,3.35,3.21,3.88,3.71,3.9,3.81
923,Rafał Augustyniak,Legia Warszawa,DEF,1.8,ok,87.5,3.79,4.18,3.8,4.35,3.84,4.66,3.98,3.84
950,Mateusz Cichocki,Radomiak Radom,DEF,1.7,ok,32.8,1.49,1.19,1.16,1.03,1.33,1.31,1.1,1.31
951,Arkadiusz Jędrych,GKS Katowice,DEF,2.3,ok,87.5,3.17,3.39,3.64,2.97,3.58,2.54,2.88,2.95
964,Sebastian Milewski,GKS Katowice,MID,1.8,ok,43.9,1.64,1.71,1.76,1.62,1.75,1.46,1.56,1.56
979,Oskar Repka,Raków Częstochowa,MID,2.0,ok,87.5,3.73,3.6,3.54,3.3,3.29,3.27,2.85,3.68
992,Przemysław Wiśniewski,Widzew Łódź,DEF,2.0,ok,87.5,3.58,3.56,2.77,3.51,3.7,2.6,3.68,2.93
994,Lukas Klemenz,GKS Katowice,DEF,2.0,ok,63.0,2.31,2.48,2.66,2.17,2.62,1.85,2.11,2.15
1005,Karol Fila,Wieczysta Kraków,DEF,1.7,ok,87.5,3.59,2.61,3.37,3.34,3.31,3.69,3.74,3.28
1010,Jorge Félix Garcia,Piast Gliwice,MID,1.9,ok,22.8,1.0,1.13,0.84,1.15,0.96,1.05,1.08,1.04
1012,Patryk Sokołowski,Śląsk Wrocław,MID,1.7,ok,22.8,0.88,0.92,1.0,0.97,0.94,0.87,0.89,1.0
1015,Mariusz Malec,Śląsk Wrocław,DEF,1.7,ok,28.4,0.87,0.89,1.1,1.02,1.01,0.86,0.84,1.09
1020,Jakub Łabojko,Piast Gliwice,MID,1.7,ok,27.3,1.04,1.16,0.89,1.18,1.02,1.09,1.12,1.08
1026,Mateusz Lis,Lech Poznań,GK,1.8,ok,87.5,3.38,3.4,3.31,3.42,2.91,3.03,2.9,2.88
1029,Bartłomiej Żynel,Jagiellonia Białystok,GK,1.4,ok,34.5,1.23,1.12,1.19,1.2,0.8,0.94,1.36,1.21
1039,Wiktor Biedrzycki,Wisła Kraków,DEF,1.7,ok,11.5,0.53,0.48,0.58,0.43,0.47,0.59,0.48,0.45
1092,Piotr Samiec-Talar,Śląsk Wrocław,MID,2.0,ok,87.5,3.43,3.55,3.87,3.77,3.62,3.37,3.46,3.9
1094,Filip Marchwiński,Cracovia,MID,2.1,ok,28.0,1.03,1.3,1.34,1.17,1.4,1.28,1.2,1.3
1126,Kamil Piątkowski,Legia Warszawa,DEF,2.0,ok,87.5,3.41,3.78,3.45,3.91,3.46,4.19,3.55,3.52
1136,Mateusz Praszelik,Cracovia,MID,1.7,ok,8.5,0.37,0.48,0.49,0.43,0.51,0.47,0.44,0.48
1146,Aleksander Buksa,Górnik Zabrze,FWD,1.5,ok,18.0,1.16,0.96,1.04,1.12,0.87,1.07,0.95,0.87
1168,Patryk Makuch,Raków Częstochowa,FWD,1.9,ok,87.5,5.34,5.2,4.99,4.5,4.5,4.59,3.89,5.45
1169,Mateusz Skrzypczak,Lech Poznań,DEF,1.8,ok,47.6,2.25,2.31,2.26,2.32,1.99,1.99,1.96,1.93
1186,Michał Rakoczy,Górnik Zabrze,MID,1.8,ok,16.1,0.98,0.82,0.88,0.94,0.74,0.9,0.81,0.74
1192,Erik Janža,Górnik Zabrze,DEF,2.2,ok,87.5,4.93,3.97,4.26,4.68,3.33,4.38,3.98,3.19
1194,Aleksander Paluszek,GKS Katowice,DEF,1.6,ok,48.0,1.92,2.05,2.19,1.81,2.16,1.54,1.75,1.78
1214,Filip Szymczak,Zagłębie Lubin,FWD,1.8,ok,24.5,1.33,1.1,1.1,1.46,1.31,1.33,1.35,1.36
1225,Jan Grzesik,Radomiak Radom,DEF,2.0,ok,87.5,5.95,4.83,4.5,3.99,5.26,5.05,4.17,5.24
1244,Wojciech Kamiński,Korona Kielce,MID,1.5,ok,25.8,1.0,1.07,1.05,1.01,1.21,1.16,1.22,1.19
1252,Marcel Wędrychowski,GKS Katowice,MID,1.7,ok,18.0,0.91,0.96,0.99,0.91,0.97,0.78,0.86,0.86
1280,Damian Michalski,Zagłębie Lubin,DEF,1.8,ok,46.9,1.86,1.48,1.38,2.13,1.8,1.83,1.94,1.86
1285,Lucas Luquinhas,Radomiak Radom,MID,2.0,ok,87.5,3.91,3.46,3.34,3.11,3.64,3.54,3.16,3.65
1290,Karol Struski,Raków Częstochowa,MID,1.7,ok,35.0,1.55,1.49,1.47,1.37,1.37,1.36,1.18,1.52
1299,Jean Carlos Silva,Raków Częstochowa,DEF,2.2,ok,87.5,4.87,4.66,4.48,4.08,3.98,3.85,2.97,4.63
1319,Paweł Wszołek,Legia Warszawa,DEF,2.0,ok,87.5,4.39,4.82,4.37,5.06,4.45,5.43,4.68,4.37
1327,Kacper Urbański,Górnik Zabrze,MID,1.8,ok,87.5,4.2,3.57,3.8,4.06,3.26,3.9,3.55,3.23
1332,Erik Jirka,GKS Katowice,DEF,1.9,ok,33.0,1.51,1.62,1.72,1.45,1.69,1.22,1.39,1.41
1334,Conrado Buchanelli Holz,Radomiak Radom,DEF,1.7,ok,28.4,1.33,1.06,1.04,0.92,1.19,1.17,0.98,1.17
1341,Fran Tudor,Raków Częstochowa,DEF,1.9,ok,87.5,4.13,3.93,3.81,3.51,3.42,3.25,2.5,3.86
1360,Kacper Chodyna,Legia Warszawa,MID,1.8,ok,34.7,1.52,1.61,1.5,1.68,1.53,1.75,1.6,1.49
1369,Aleksander Pawlak,Wisła Płock,MID,1.4,ok,22.8,0.87,0.95,1.03,0.86,0.99,1.01,0.97,1.01
1373,Ben Lederman,Wieczysta Kraków,MID,1.7,ok,81.0,3.2,2.77,3.12,3.08,3.0,3.25,3.27,3.07
