,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s?,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
1,Xavier Dziekonski,pl POL,GK,Korona Kielce,21,2003,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Filip Majchrowicz,pl POL,GK,Radomiak,25,2000,34,34,"3,060",34,0,1,1,0,0,0,2,0,0,0.03,0.03,0,0.03
3,Marcin Kami?ski,pl POL,DF,Wis?a P?ock,33,1992,34,34,"3,003",33.4,3,0,3,3,0,0,1,0,0.09,0,0.09,0.09,0.09
4,Bartosz Nowak,pl POL,"FW,MF",Katowice,31,1993,34,34,"3,001",33.3,9,12,21,9,0,0,1,0,0.27,0.36,0.63,0.27,0.63
5,Marcus Haglind-Sangré,se SWE,DF,Wis?a P?ock,30,1995,33,33,"2,970",33,0,2,2,0,0,0,4,0,0,0.06,0.06,0,0.06
6,Arkadiusz J?drych,pl POL,DF,Katowice,33,1992,33,33,"2,970",33,6,0,6,5,1,1,5,0,0.18,0,0.18,0.15,0.15
7,Rafa? Leszczy?ski,pl POL,GK,Wis?a P?ock,33,1992,33,33,"2,970",33,0,0,0,0,0,0,4,0,0,0,0,0,0
8,Bartosz Mrozek,pl POL,GK,Lech Pozna?,25,2000,33,33,"2,970",33,0,0,0,0,0,0,2,0,0,0,0,0,0
9,Micha? Marcjanik,pl POL,DF,Arka Gdynia,30,1994,33,33,"2,943",32.7,2,0,2,2,0,0,4,0,0.06,0,0.06,0.06,0.06
10,Marcin Wasielewski,pl POL,MF,Katowice,30,1994,33,33,"2,933",32.6,2,4,6,2,0,0,7,0,0.06,0.12,0.18,0.06,0.18
11,Marcel ?ubik,pl POL,GK,Górnik Zabrze,21,2004,33,33,"2,936",32.6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jan Grzesik,pl POL,"DF,MF",Radomiak,30,1994,34,33,"2,921",32.5,7,5,12,7,0,0,2,0,0.22,0.15,0.37,0.22,0.37
13,Patryk Dziczek,pl POL,MF,Piast Gliwice,27,1998,32,32,"2,880",32,4,3,7,2,2,4,8,0,0.12,0.09,0.22,0.06,0.16
14,Tamar Svetlin,si SVN,MF,Korona Kielce,24,2001,33,33,"2,882",32,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06
15,Patrik Hellebrand,cz CZE,MF,Górnik Zabrze,26,1999,33,33,"2,859",31.8,4,1,5,4,0,0,7,0,0.13,0.03,0.16,0.13,0.16
16,Bartosz Wolski,pl POL,MF,Motor Lublin,28,1997,34,34,"2,855",31.7,6,6,12,6,0,1,2,0,0.19,0.19,0.38,0.19,0.38
17,Jesús Imaz,es ESP,"MF,FW",Jagiellonia,34,1990,33,32,"2,784",30.9,13,6,19,13,0,0,5,0,0.42,0.19,0.61,0.42,0.61
18,Rafa? Janicki,pl POL,DF,Górnik Zabrze,33,1992,31,31,"2,783",30.9,4,0,4,2,2,2,5,0,0.13,0,0.13,0.06,0.06
19,Valentin Cojocaru,ro ROU,GK,Pogo? Szczecin,29,1995,31,31,"2,774",30.8,0,0,0,0,0,0,4,0,0,0,0,0,0
20,Rifet Kapi?,ba BIH,MF,Lechia Gda?sk,30,1995,32,32,"2,767",30.7,5,3,8,4,1,2,8,0,0.16,0.1,0.26,0.13,0.23
21,Matúš Vojtko,sk SVK,DF,Lechia Gda?sk,24,2000,31,31,"2,765",30.7,1,3,4,1,0,0,6,0,0.03,0.1,0.13,0.03,0.13
22,Maciej Ambrosiewicz,pl POL,MF,Nieciecza,27,1998,33,32,"2,755",30.6,1,2,3,0,1,1,8,1,0.03,0.07,0.1,0,0.07
23,Oskar Wójcik,pl POL,DF,Cracovia,22,2003,31,31,"2,749",30.5,0,0,0,0,0,0,10,1,0,0,0,0,0
24,Fredrik Ulvestad,no NOR,MF,Pogo? Szczecin,33,1992,32,30,"2,717",30.2,5,3,8,2,3,3,3,0,0.17,0.1,0.26,0.07,0.17
25,S?awomir Abramowicz,pl POL,GK,Jagiellonia,21,2004,30,30,"2,700",30,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Erik Janža,si SVN,DF,Górnik Zabrze,32,1993,32,31,"2,702",30,4,2,6,4,0,0,3,0,0.13,0.07,0.2,0.13,0.2
27,Sebastian Madejski,pl POL,GK,Cracovia,28,1997,30,30,"2,700",30,0,0,0,0,0,0,2,0,0,0,0,0,0
28,Camilo Mena,co COL,MF,Lechia Gda?sk,22,2002,31,31,"2,698",30,5,8,13,4,1,1,6,0,0.17,0.27,0.43,0.13,0.4
29,Ivan Zhelizko,ua UKR,MF,Lechia Gda?sk,24,2001,30,30,"2,696",30,7,5,12,7,0,0,10,1,0.23,0.17,0.4,0.23,0.4
30,Micha? Nalepa,pl POL,DF,Zag??bie Lubin,32,1993,31,30,"2,660",29.6,2,1,3,2,0,0,8,1,0.07,0.03,0.1,0.07,0.1
31,Juljan Shehu,al ALB,MF,Widzew ?ód?,26,1998,32,31,"2,660",29.6,4,3,7,4,0,0,11,1,0.14,0.1,0.24,0.14,0.24
32,Josema,es ESP,DF,Górnik Zabrze,29,1996,31,31,"2,653",29.5,0,0,0,0,0,0,3,0,0,0,0,0,0
33,Filip Luberecki,pl POL,DF,Motor Lublin,20,2005,31,29,"2,615",29.1,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03
34,Wiktor Nowak,pl POL,"MF,FW",Wis?a P?ock,20,2004,32,29,"2,598",28.9,4,1,5,4,0,0,7,0,0.14,0.03,0.17,0.14,0.17
35,Sebastian Kerk,de GER,"MF,FW",Arka Gdynia,31,1994,33,31,"2,568",28.5,4,7,11,4,0,0,3,0,0.14,0.25,0.39,0.14,0.39
36,Bogdan Racovitan,ro ROU,DF,Raków,25,2000,30,30,"2,546",28.3,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04
37,Karol Czubak,pl POL,FW,Motor Lublin,25,2000,32,31,"2,542",28.2,18,3,21,15,3,3,3,1,0.64,0.11,0.74,0.53,0.64
38,Gustav Henriksson,se SWE,DF,Cracovia,27,1998,29,29,"2,534",28.2,1,1,2,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07
39,Filip Kocaba,pl POL,"MF,DF",Zag??bie Lubin,20,2004,31,30,"2,533",28.1,2,1,3,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11
40,Antoni Kozubal,pl POL,MF,Lech Pozna?,20,2004,32,30,"2,532",28.1,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07
41,Kamil Jakubczyk,pl POL,MF,Arka Gdynia,20,2004,31,28,"2,516",28,2,1,3,2,0,0,9,0,0.07,0.04,0.11,0.07,0.11
42,Adrián Diéguez,es ESP,DF,Radomiak,29,1996,28,28,"2,509",27.9,1,2,3,1,0,0,10,0,0.04,0.07,0.11,0.04,0.11
43,Amir Al Ammari,iq IRQ,MF,Cracovia,28,1997,33,29,"2,501",27.8,1,4,5,1,0,0,3,1,0.04,0.14,0.18,0.04,0.18
