ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
10,,Pestka,Kamil Pestka,DEF,1.7,Wieczysta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,,Dabrowski,Damian Dąbrowski,MID,1.7,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Niemczycki,Karol Niemczycki,GKP,1.8,Slask Wroclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,578364.0,Romanczuk,Taras Romanczuk,MID,1.9,Jagiellonia,1.0,90.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0
87,345972.0,Szymanski,Damian Szymański,MID,1.8,Legia,1.0,83.0,0.0,0.08,0.0,0.06,0.14,0.15,2.0,1.0,0.0
88,,Szymonowicz,Dawid Szymonowicz,DEF,1.7,Wieczysta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,576438.0,Swiderski,Karol Świderski,FWD,2.6,Widzew Lodz,1.0,25.0,0.0,0.51,0.0,0.01,0.52,1.87,1.0,3.0,0.0
118,843362.0,Mokrzycki,Michał Mokrzycki,MID,1.6,Slask Wroclaw,1.0,64.0,0.0,0.0,0.0,0.07,0.07,0.1,3.0,0.0,0.0
128,111129.0,Sekulski,Łukasz Sekulski,FWD,2.1,Wisla Plock,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,,Buric,Jasmin Burić,GKP,1.9,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,834986.0,Gumny,Robert Gumny,DEF,1.8,Lech Poznan,1.0,64.0,0.0,0.01,0.0,0.01,0.02,0.03,0.0,1.0,1.0
147,814820.0,Jozwiak,Kamil Jóźwiak,MID,1.9,Jagiellonia,1.0,61.0,0.0,0.0,0.0,0.03,0.03,0.04,0.0,0.0,0.0
166,133544.0,Janicki,Rafał Janicki,DEF,2.0,Gornik Zabrze,1.0,90.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0
184,137135.0,Wolski,Rafał Wolski,MID,2.2,Radomiak,1.0,75.0,0.0,0.14,0.0,0.33,0.47,0.56,4.0,2.0,0.0
195,109461.0,Bereszynski,Bartosz Bereszyński,DEF,1.9,Motor Lublin,1.0,83.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0
239,138596.0,Flis,Marcin Flis,DEF,1.7,Wisla Plock,1.0,90.0,1.0,0.1,0.0,0.09,0.19,0.19,1.0,1.0,1.0
244,227440.0,Murawski,Radosław Murawski,MID,1.7,Lech Poznan,1.0,26.0,0.0,0.05,0.0,0.03,0.08,0.28,0.0,2.0,1.0
256,,Czerwinski,Jakub Czerwiński,DEF,1.7,Piast Gliwice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,189127.0,Stepinski,Mariusz Stępiński,FWD,2.2,Korona Kielce,1.0,67.0,0.0,0.0,0.0,0.01,0.01,0.01,1.0,0.0,0.0
308,,Dankowski,Kamil Dankowski,DEF,1.6,Wieczysta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,138601.0,Uryga,Alan Uryga,DEF,1.6,Wisla Krakow,1.0,90.0,0.0,0.14,0.0,0.02,0.16,0.16,0.0,1.0,0.0
382,,Hladun,Dominik Hładun,GKP,1.7,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,335887.0,Jagiello,Filip Jagiełło,MID,1.8,Lech Poznan,1.0,64.0,0.0,0.0,0.0,0.02,0.02,0.03,1.0,0.0,0.0
395,,Kubicki,Jarosław Kubicki,MID,1.9,Gornik Zabrze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,,Wozniak,Arkadiusz Woźniak,MID,1.7,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,,Blad,Adrian Błąd,MID,1.7,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,792141.0,Tomasiewicz,Grzegorz Tomasiewicz,MID,1.7,Slask Wroclaw,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,580638.0,Reca,Arkadiusz Reca,DEF,1.7,Legia,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,316216.0,Nowak,Bartosz Nowak,MID,3.3,GKS Katowice,1.0,90.0,0.0,0.3,0.0,0.16,0.46,0.46,3.0,2.0,1.0
563,851511.0,Wasielewski,Marcin Wasielewski,DEF,2.0,GKS Katowice,1.0,61.0,0.0,0.0,0.0,0.06,0.06,0.09,1.0,0.0,0.0
587,572744.0,Dziczek,Patryk Dziczek,MID,1.9,Pogon Szczecin,1.0,90.0,0.0,0.04,0.0,0.01,0.05,0.05,0.0,1.0,1.0
633,335825.0,Wdowiak,Mateusz Wdowiak,MID,1.8,GKS Katowice,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
