player_id,fpl_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
1390323,,Piekutowski,Miłosz Piekutowski,MID,,Jagiellonia,4,360,0,0.0,0,0.0,0.0,0.0,0,0,0
865794,,Hellebrand,Patrik Hellebrand,MID,,Gornik Zabrze,33,2865,4,2.5,1,1.31,3.81,0.12,25,64,14
99524,1893.0,Pacheco,Dani Pacheco,MID,1.8,Wisla Plock,31,2195,2,1.46,3,4.37,5.83,0.24,46,32,8
359350,2234.0,Gholizadeh,Ali Gholizadeh,MID,3.0,Lech Poznan,19,1137,6,5.0,4,5.46,10.46,0.83,43,35,9
2551205,,Zhelyzko,Ivan Zhelyzko,MID,,KS Lechia Gdansk,30,2697,7,3.0,5,4.1,7.1,0.24,39,57,18
316216,480.0,Nowak,Bartosz Nowak,MID,3.3,GKS Katowice,34,3006,9,7.37,12,10.16,17.53,0.52,90,81,38
787905,,Wolski,Bartosz Wolski,MID,,Motor Lublin,34,2868,6,3.78,6,7.88,11.66,0.37,68,40,17
182363,2286.0,Cojocaru,Valentin Cojocaru,GKP,1.8,Pogon Szczecin,31,2775,0,0.0,0,0.09,0.09,0.0,0,0,0
572744,,Dziczek,Patryk Dziczek,MID,,Piast Gliwice,32,2880,4,6.24,3,4.53,10.77,0.34,43,60,15
905421,2733.0,Palma,Luis Palma,MID,3.5,Lech Poznan,31,1655,10,6.01,6,6.23,12.24,0.67,52,79,36
843422,,Mleczko,Miłosz Mleczko,MID,,Bruk-Bet Termalica Nieciecza,12,1080,0,0.0,0,0.05,0.05,0.0,0,0,0
809489,1712.0,Pereira,Joel Pereira,DEF,2.1,Lech Poznan,31,2351,2,1.44,5,7.54,8.98,0.34,69,19,4
793267,1928.0,Svarnas,Stratos Svarnas,DEF,2.1,Rakow,30,2358,1,1.62,1,3.87,5.49,0.21,17,6,4
1065442,2661.0,Vital,Bernardo Vital,DEF,1.9,Jagiellonia,27,2211,3,0.53,1,1.18,1.71,0.07,11,15,8
280637,2794.0,Sadilek,Lukáš Sadílek,MID,2.0,Gornik Zabrze,15,1084,4,1.34,2,1.96,3.3,0.27,14,14,6
134908,,Holec,Dominik Holec,MID,,Piast Gliwice,6,540,0,0.0,0,0.01,0.01,0.0,0,0,0
918481,,Bobcek,Tomáš Bobček,MID,,KS Lechia Gdansk,30,2464,20,19.81,6,2.5,22.31,0.81,29,117,50
794277,791.0,Blanik,Dawid Błanik,MID,2.2,Korona Kielce,27,1895,9,6.34,4,6.21,12.55,0.6,55,48,17
182023,1697.0,Kakabadze,Otar Kakabadze,DEF,1.8,Cracovia,13,1067,2,1.49,2,1.75,3.24,0.27,7,13,3
108979,20.0,Dabrowski,Damian Dąbrowski,MID,1.7,Zaglebie Lubin,25,1902,0,0.25,3,4.37,4.62,0.22,39,10,2
124590,1192.0,Janza,Erik Janža,DEF,2.2,Gornik Zabrze,32,2706,4,1.77,2,6.28,8.05,0.27,58,32,9
386608,,Koulouris,Efthymis Koulouris,MID,,Pogon Szczecin,4,334,3,4.5,0,0.45,4.95,1.33,5,13,4
46136,130.0,Buric,Jasmin Burić,GKP,1.9,Zaglebie Lubin,24,2083,0,0.0,0,0.06,0.06,0.0,0,0,0
796432,1299.0,Silva,Jean Carlos Silva,DEF,2.2,Rakow,22,1489,3,1.59,3,3.6,5.19,0.31,30,16,7
359792,,Brkic,Ivan Brkić,MID,,Motor Lublin,27,2363,0,0.0,0,0.04,0.04,0.0,1,0,0
72255,1411.0,Leszczynski,Rafał Leszczyński,GKP,1.8,Wisla Plock,33,2970,0,0.0,0,0.23,0.23,0.01,3,0,0
949819,,Elitim,Juergen Elitim,MID,,Legia,25,1911,2,1.7,3,4.93,6.63,0.31,46,18,3
133544,166.0,Janicki,Rafał Janicki,DEF,2.0,Gornik Zabrze,31,2784,4,2.75,0,0.54,3.29,0.11,12,18,6
151470,2802.0,Lerager,Lukas Lerager,MID,1.8,Widzew Lodz,10,782,1,0.29,0,0.92,1.21,0.14,5,3,1
1152849,1795.0,Abramowicz,Sławomir Abramowicz,GKP,2.0,Jagiellonia,30,2700,0,0.0,0,0.02,0.02,0.0,0,0,0
1033201,1400.0,Dziekonski,Xavier Dziekoński,GKP,2.0,Korona Kielce,34,3060,0,0.0,0,0.14,0.14,0.0,1,0,0
551338,2849.0,Savvidis,Kyriakos Savvidis,MID,1.7,Wisla Plock,8,579,1,0.95,0,0.1,1.05,0.16,2,4,1
792659,1341.0,Tudor,Fran Tudor,DEF,1.9,Rakow,22,1889,0,0.33,0,2.32,2.65,0.13,23,7,1
959616,2668.0,Svetlin,Tamar Svetlin,MID,1.8,Korona Kielce,33,2889,1,2.21,1,4.76,6.97,0.22,35,30,5
1389851,,Sow,Ousmane Sow,MID,,Gornik Zabrze,16,1149,7,5.52,2,1.74,7.26,0.57,16,41,17
578364,86.0,Romanczuk,Taras Romanczuk,MID,1.9,Jagiellonia,32,2471,3,1.81,0,2.65,4.46,0.16,25,41,12
149679,,Sarnavskyi,Bogdan Sarnavskyi,MID,,KS Lechia Gdansk,1,90,0,0.0,0,0.0,0.0,0.0,0,0,0
1823942,,Leszczynski,Jan Leszczyński,MID,,Legia,4,181,0,0.32,0,0.03,0.35,0.17,0,3,1
1006091,,Khlan,Maksym Khlan,MID,,Gornik Zabrze,26,1935,6,4.35,4,2.76,7.11,0.33,24,66,21
363478,,Chovan,Adrián Chovan,MID,,Bruk-Bet Termalica Nieciecza,22,1980,0,0.0,0,0.05,0.05,0.0,1,0,0
971523,1935.0,Shehu,Juljan Shehu,MID,2.0,Widzew Lodz,32,2670,4,3.96,3,2.58,6.54,0.22,31,54,17
1014498,,Mena,Camilo Mena,MID,,KS Lechia Gdansk,31,2701,5,5.52,8,8.12,13.64,0.45,50,50,19
841930,,Kapic,Rifet Kapić,MID,,KS Lechia Gdansk,32,2774,5,3.52,3,6.35,9.87,0.32,57,25,10
1562120,2367.0,Monka,Wojciech Mońka,DEF,2.1,Lech Poznan,19,1710,0,0.42,0,0.56,0.98,0.05,8,6,1
1046320,,Jime,Jime,MID,,Wisla Plock,9,526,1,1.5,2,0.54,2.04,0.35,8,13,6
1036147,1490.0,Trelowski,Kacper Trelowski,GKP,1.9,Rakow,16,1417,0,0.0,0,0.09,0.09,0.01,0,0,0
1009362,,Zych,Oliwier Zych,MID,,Rakow,19,1643,0,0.0,0,0.03,0.03,0.0,1,0,0
845791,,Jordao,Bruno Jordão,MID,,Radomiak,4,303,0,0.1,2,0.47,0.57,0.17,7,4,1
830543,790.0,Plach,František Plach,GKP,1.7,Piast Gliwice,24,2160,0,0.0,0,0.13,0.13,0.01,0,0,0
336091,,Kudla,Dawid Kudła,MID,,GKS Katowice,12,1080,0,0.0,0,0.04,0.04,0.0,1,0,0
840521,2476.0,Brunes,Jonatan Braut Brunes,FWD,3.1,Rakow,32,2462,16,14.41,0,1.26,15.67,0.57,23,80,38
843377,,Makowski,Tomasz Makowski,MID,,Zaglebie Lubin,13,522,0,0.18,1,1.36,1.54,0.27,10,5,1
129391,,Kaminski,Krzysztof Kamiński,MID,,Pogon Szczecin,4,285,0,0.0,0,0.0,0.0,0.0,0,0,0
789971,994.0,Klemenz,Lukas Klemenz,DEF,2.0,GKS Katowice,28,2250,6,3.06,0,0.51,3.57,0.14,7,15,7
146924,,Kerk,Sebastian Kerk,MID,,Arka Gdynia,33,2587,4,3.99,7,5.86,9.85,0.34,56,40,18
190171,2699.0,Rodrigues,Ivo Rodrigues,MID,1.8,Motor Lublin,31,2452,2,3.15,4,4.63,7.78,0.29,25,45,8
