ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name
10,,Pestka,Kamil Pestka,DEF,1.7,Wieczysta
20,,Dabrowski,Damian Dąbrowski,MID,1.7,Zaglebie Lubin
23,,Niemczycki,Karol Niemczycki,GKP,1.8,Slask Wroclaw
86,578364.0,Romanczuk,Taras Romanczuk,MID,1.9,Jagiellonia
87,345972.0,Szymanski,Damian Szymański,MID,1.8,Legia
88,,Szymonowicz,Dawid Szymonowicz,DEF,1.7,Wieczysta
95,576438.0,Swiderski,Karol Świderski,FWD,2.6,Widzew Lodz
118,843362.0,Mokrzycki,Michał Mokrzycki,MID,1.6,Slask Wroclaw
128,111129.0,Sekulski,Łukasz Sekulski,FWD,2.1,Wisla Plock
130,,Buric,Jasmin Burić,GKP,1.9,Zaglebie Lubin
138,834986.0,Gumny,Robert Gumny,DEF,1.8,Lech Poznan
147,814820.0,Jozwiak,Kamil Jóźwiak,MID,1.9,Jagiellonia
166,133544.0,Janicki,Rafał Janicki,DEF,2.0,Gornik Zabrze
184,137135.0,Wolski,Rafał Wolski,MID,2.2,Radomiak
195,109461.0,Bereszynski,Bartosz Bereszyński,DEF,1.9,Motor Lublin
239,138596.0,Flis,Marcin Flis,DEF,1.7,Wisla Plock
244,227440.0,Murawski,Radosław Murawski,MID,1.7,Lech Poznan
256,,Czerwinski,Jakub Czerwiński,DEF,1.7,Piast Gliwice
303,189127.0,Stepinski,Mariusz Stępiński,FWD,2.2,Korona Kielce
308,,Dankowski,Kamil Dankowski,DEF,1.6,Wieczysta
374,138601.0,Uryga,Alan Uryga,DEF,1.6,Wisla Krakow
382,,Hladun,Dominik Hładun,GKP,1.7,Zaglebie Lubin
392,335887.0,Jagiello,Filip Jagiełło,MID,1.8,Lech Poznan
395,,Kubicki,Jarosław Kubicki,MID,1.9,Gornik Zabrze
402,,Wozniak,Arkadiusz Woźniak,MID,1.7,Zaglebie Lubin
423,,Blad,Adrian Błąd,MID,1.7,GKS Katowice
432,792141.0,Tomasiewicz,Grzegorz Tomasiewicz,MID,1.7,Slask Wroclaw
458,580638.0,Reca,Arkadiusz Reca,DEF,1.7,Legia
480,316216.0,Nowak,Bartosz Nowak,MID,3.3,GKS Katowice
563,851511.0,Wasielewski,Marcin Wasielewski,DEF,2.0,GKS Katowice
587,572744.0,Dziczek,Patryk Dziczek,MID,1.9,Pogon Szczecin
633,335825.0,Wdowiak,Mateusz Wdowiak,MID,1.8,GKS Katowice
672,,Loska,Tomasz Loska,GKP,1.6,Gornik Zabrze
681,,Nalepa,Michał Nalepa,DEF,1.7,Zaglebie Lubin
692,337301.0,Arsenic,Zoran Arsenić,DEF,1.8,Legia
698,260085.0,Czerwinski,Alan Czerwiński,DEF,1.8,GKS Katowice
701,281307.0,Kun,Patryk Kun,DEF,1.7,Wisla Plock
705,,Rasak,Damian Rasak,MID,1.7,GKS Katowice
722,,Angielski,Karol Angielski,FWD,1.8,Pogon Szczecin
724,,Alomerovic,Zlatan Alomerović,GKP,1.8,Zaglebie Lubin
765,175177.0,Imaz,Jesús Imaz,MID,3.5,Jagiellonia
774,913575.0,Bergier,Sebastian Bergier,FWD,2.4,Widzew Lodz
790,,Plach,František Plach,GKP,1.7,Piast Gliwice
791,794277.0,Blanik,Dawid Błanik,MID,2.2,Korona Kielce
799,,Bochniewicz,Paweł Bochniewicz,DEF,1.8,Gornik Zabrze
813,851245.0,Zyro,Mateusz Żyro,DEF,1.7,Widzew Lodz
827,,Grzybek,Mateusz Grzybek,DEF,1.9,Zaglebie Lubin
860,926184.0,Dlugosz,Wiktor Długosz,MID,1.8,Korona Kielce
923,338475.0,Augustyniak,Rafał Augustyniak,DEF,1.8,Legia
950,,Cichocki,Mateusz Cichocki,DEF,1.7,Radomiak
951,198796.0,Jedrych,Arkadiusz Jędrych,DEF,2.3,GKS Katowice
964,,Milewski,Sebastian Milewski,MID,1.8,GKS Katowice
979,940867.0,Repka,Oskar Repka,MID,2.0,Rakow
992,931266.0,Wisniewski,Przemysław Wiśniewski,DEF,2.0,Widzew Lodz
994,789971.0,Klemenz,Lukas Klemenz,DEF,2.0,GKS Katowice
1005,871041.0,Fila,Karol Fila,DEF,1.7,Wieczysta
1010,,Garcia,Jorge Félix Garcia,MID,1.9,Piast Gliwice
1012,,Sokolowski,Patryk Sokołowski,MID,1.7,Slask Wroclaw
1015,,Malec,Mariusz Malec,DEF,1.7,Slask Wroclaw
1020,,Labojko,Jakub Łabojko,MID,1.7,Piast Gliwice
1026,798375.0,Lis,Mateusz Lis,GKP,1.8,Lech Poznan
1029,,Zynel,Bartłomiej Żynel,GKP,1.4,Jagiellonia
1039,,Biedrzycki,Wiktor Biedrzycki,DEF,1.7,Wisla Krakow
1092,941964.0,Talar,Piotr Samiec-Talar,MID,2.0,Slask Wroclaw
1094,966929.0,Marchwinski,Filip Marchwiński,MID,2.1,Cracovia
1126,942335.0,Piatkowski,Kamil Piątkowski,DEF,2.0,Legia
