id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
2498,Patrik Wålemark,Lech Poznań,MID,2.3,EXP,,,,,,,,,,,,
2733,Luis Palma,Lech Poznań,MID,3.5,EXP,,,,,,,,,,,,
1475,Mikael Ishak,Lech Poznań,FWD,4,EXP,,,,,,,,,,,,
2389,Lamine Diaby-Fadiga,Raków Częstochowa,MID,2.1,MAY,,,,,,,,,,,,
2933,Oliwier Kwiatkowski,Raków Częstochowa,MID,1.6,NES,,,,,,,,,,,,
2941,Élie Youan,Wisła Kraków,MID,1.9,NES,,,,,,,,,,,,
2917,Allahyar Sayyadmanesh,Lech Poznań,MID,2.2,NES,,,,,,,,,,,,
2934,Ádin Molnár,Raków Częstochowa,MID,2.1,NES,,,,,,,,,,,,
1794,Kamil Grosicki,Pogoń Szczecin,MID,2.5,NES,,,,,,,,,,,,
2717,Pablo Rodríguez,Lech Poznań,MID,2,EXP,,,,,,,,,,,,
2698,Leo Bengtsson,Lech Poznań,MID,2.4,MAY,,,,,,,,,,,,
2476,Jonatan Braut Brunes,Raków Częstochowa,FWD,3.1,EXP,,,,,,,,,,,,
2430,Jean-Pierre Nsame,Pogoń Szczecin,FWD,2.1,MAY,,,,,,,,,,,,
791,Dawid Błanik,Korona Kielce,MID,2.2,EXP,,,,,,,,,,,,
765,Jesús Imaz,Jagiellonia Białystok,MID,3.5,EXP,,,,,,,,,,,,
1712,Joel Pereira,Lech Poznań,DEF,2.1,EXP,,,,,,,,,,,,
2931,Jakub Jendryka,Raków Częstochowa,DEF,1.8,NES,,,,,,,,,,,,
1835,Wahan Biczachczjan,Legia Warszawa,MID,1.8,MAY,,,,,,,,,,,,
2942,Michal Ševčík,Legia Warszawa,MID,2,NES,,,,,,,,,,,,
2708,Mileta Rajović,Legia Warszawa,FWD,1.9,EXP,,,,,,,,,,,,
1507,Łukasz Zjawiński,Legia Warszawa,FWD,2.1,NES,,,,,,,,,,,,
2881,Ángel Rodado,Wisła Kraków,FWD,2.2,MAY,,,,,,,,,,,,
2906,Stefan Feiertag,Wieczysta Kraków,FWD,1.9,EXP,,,,,,,,,,,,
2502,Andréas Katsantónis,Piast Gliwice,FWD,1.6,MAY,,,,,,,,,,,,
95,Karol Świderski,Widzew Łódź,FWD,2.6,NES,,,,,,,,,,,,
2742,Kahveh Zahiroleslam,Cracovia,FWD,1.7,EXP,,,,,,,,,,,,
1299,Jean Carlos Silva,Raków Częstochowa,DEF,2.2,EXP,,,,,,,,,,,,
1719,Michael Ameyaw,Raków Częstochowa,MID,2.1,EXP,,,,,,,,,,,,
2451,Bryan Fiabema,Lech Poznań,FWD,1.8,NES,,,,,,,,,,,,
2878,Frederico Duarte,Wisła Kraków,MID,2,EXP,,,,,,,,,,,,
2759,Eman Markovic,GKS Katowice,MID,2.2,EXP,,,,,,,,,,,,
392,Filip Jagiełło,Lech Poznań,MID,1.8,MAY,,,,,,,,,,,,
2772,Sergio Lozano,Jagiellonia Białystok,MID,1.9,EXP,,,,,,,,,,,,
2702,Stjepan Davidović,Korona Kielce,MID,1.7,MAY,,,,,,,,,,,,
480,Bartosz Nowak,GKS Katowice,MID,3.3,EXP,,,,,,,,,,,,
2000,Lisandro Semedo,Wieczysta Kraków,MID,1.8,EXP,,,,,,,,,,,,
2880,Marko Bozic,Wisła Kraków,MID,1.8,EXP,,,,,,,,,,,,
2677,Musa Juwara,Pogoń Szczecin,MID,1.8,MAY,,,,,,,,,,,,
1403,Damian Warchoł,Śląsk Wrocław,MID,1.7,MAY,,,,,,,,,,,,
138,Robert Gumny,Lech Poznań,DEF,1.8,MAY,,,,,,,,,,,,
2467,Mateusz Szczepaniak,Legia Warszawa,MID,0.7,NES,,,,,,,,,,,,
2206,Adrián Dalmau,Piast Gliwice,FWD,1.7,NES,,,,,,,,,,,,
2507,Jesus Diaz,Raków Częstochowa,MID,1.7,MAY,,,,,,,,,,,,
2737,Marko Bulat,Raków Częstochowa,MID,2,EXP,,,,,,,,,,,,
2846,Filip Čuić,Pogoń Szczecin,FWD,1.9,EXP,,,,,,,,,,,,
2481,Ajdin Hasić,Cracovia,MID,2.2,EXP,,,,,,,,,,,,
2480,Daniel Håkans,Lech Poznań,MID,1.8,NES,,,,,,,,,,,,
2879,Maciej Kuziemka,Wisła Kraków,MID,1.7,MAY,,,,,,,,,,,,
1319,Paweł Wszołek,Legia Warszawa,DEF,2,EXP,,,,,,,,,,,,
1880,Ilja Szkurin,GKS Katowice,FWD,2.1,MAY,,,,,,,,,,,,
2747,Hugo Vallejo,Piast Gliwice,MID,1.8,EXP,,,,,,,,,,,,
2679,Paul Mukairu,Pogoń Szczecin,MID,2.1,EXP,,,,,,,,,,,,
2686,Samuel Akere,Widzew Łódź,MID,1.9,NES,,,,,,,,,,,,
2729,Dijon Kameri,Cracovia,MID,1.7,MAY,,,,,,,,,,,,
2731,Aziel Jackson,Jagiellonia Białystok,MID,1.9,NES,,,,,,,,,,,,
1010,Jorge Félix Garcia,Piast Gliwice,MID,1.9,EXP,,,,,,,,,,,,
774,Sebastian Bergier,Widzew Łódź,FWD,2.4,EXP,,,,,,,,,,,,
1987,Jordi Sánchez,Wisła Kraków,FWD,1.8,EXP,,,,,,,,,,,,
2675,Quentin Boisgard,Piast Gliwice,MID,1.7,EXP,,,,,,,,,,,,
1928,Stratos Svarnas,Raków Częstochowa,DEF,2.1,EXP,,,,,,,,,,,,
2436,Adriano Amorim,Raków Częstochowa,MID,1.8,MAY,,,,,,,,,,,,
2423,Mbaye N'Diaye,Motor Lublin,MID,2.4,EXP,,,,,,,,,,,,
2527,Gisli Thordarson,Lech Poznań,MID,1.8,NES,,,,,,,,,,,,
923,Rafał Augustyniak,Legia Warszawa,DEF,1.8,EXP,,,,,,,,,,,,
1521,Bartosz Kapustka,Legia Warszawa,MID,1.9,EXP,,,,,,,,,,,,
303,Mariusz Stępiński,Korona Kielce,FWD,2.2,EXP,,,,,,,,,,,,
1926,Roberto Alves,Radomiak Radom,MID,1.8,EXP,,,,,,,,,,,,
2225,Fran Álvarez,Widzew Łódź,MID,2,EXP,,,,,,,,,,,,
1698,Karol Knap,Cracovia,MID,1.7,EXP,,,,,,,,,,,,
2783,Andi Zeqiri,Widzew Łódź,FWD,1.8,MAY,,,,,,,,,,,,
2582,Martin Minczew,Cracovia,MID,1.7,MAY,,,,,,,,,,,,
1092,Piotr Samiec-Talar,Śląsk Wrocław,MID,2,EXP,,,,,,,,,,,,
2670,Petar Stojanović,Legia Warszawa,DEF,1.7,NES,,,,,,,,,,,,
2208,Martin Remacle,Korona Kielce,MID,1.8,EXP,,,,,,,,,,,,
587,Patryk Dziczek,Pogoń Szczecin,MID,1.9,MAY,,,,,,,,,,,,
1812,Jason Lokilo,Piast Gliwice,MID,1.7,EXP,,,,,,,,,,,,
1252,Marcel Wędrychowski,GKS Katowice,MID,1.7,NES,,,,,,,,,,,,
2671,Karol Czubak,Motor Lublin,FWD,3,EXP,,,,,,,,,,,,
2817,Emil Kornvig,Widzew Łódź,MID,2.1,EXP,,,,,,,,,,,,
2123,Michał Gurgul,Lech Poznań,DEF,2.3,EXP,,,,,,,,,,,,
2775,Fábio Ronaldo,Motor Lublin,MID,2,EXP,,,,,,,,,,,,
2673,Kacper Karasek,Radomiak Radom,MID,1.7,MAY,,,,,,,,,,,,
1673,Przemysław Banaszak,Śląsk Wrocław,FWD,2,EXP,,,,,,,,,,,,
2912,Erik Prekop,Górnik Zabrze,FWD,2,EXP,,,,,,,,,,,,
860,Wiktor Długosz,Korona Kielce,MID,1.8,MAY,,,,,,,,,,,,
2346,Jakub Żewłakow,Legia Warszawa,MID,1.5,NES,,,,,,,,,,,,
1168,Patryk Makuch,Raków Częstochowa,FWD,1.9,EXP,,,,,,,,,,,,
2877,Julius Ertlthaler,Wisła Kraków,MID,1.8,EXP,,,,,,,,,,,,
1360,Kacper Chodyna,Legia Warszawa,MID,1.8,EXP,,,,,,,,,,,,
1770,Tomasz Pieńko,Raków Częstochowa,MID,2,EXP,,,,,,,,,,,,
1697,Otar Kakabadze,Cracovia,DEF,1.8,MAY,,,,,,,,,,,,
2552,Konstantínos Sotiríou,Korona Kielce,DEF,1.9,EXP,,,,,,,,,,,,
2724,Roberto Massimo,Górnik Zabrze,MID,1.7,NES,,,,,,,,,,,,
2384,Borja Galán,GKS Katowice,DEF,1.9,EXP,,,,,,,,,,,,
2573,Oliwier Olewiński,Legia Warszawa,MID,1.2,NES,,,,,,,,,,,,
1334,Conrado Buchanelli Holz,Radomiak Radom,DEF,1.7,NES,,,,,,,,,,,,
2461,Taofeek Ismaheel,Górnik Zabrze,MID,2,NES,,,,,,,,,,,,
2424,Bartosz Wolski,GKS Katowice,MID,2.4,NES,,,,,,,,,,,,
1464,Kajetan Szmyt,Jagiellonia Białystok,MID,2.1,EXP,,,,,,,,,,,,
2280,Fredrik Ulvestad,Pogoń Szczecin,MID,2.1,EXP,,,,,,,,,,,,
2406,Maksym Chłań,Górnik Zabrze,MID,2.5,EXP,,,,,,,,,,,,
979,Oskar Repka,Raków Częstochowa,MID,2,EXP,,,,,,,,,,,,
1632,Antoni Kozubal,Lech Poznań,MID,2,EXP,,,,,,,,,,,,
1169,Mateusz Skrzypczak,Lech Poznań,DEF,1.8,MAY,,,,,,,,,,,,
2907, Paulinho,Wieczysta Kraków,FWD,1.8,MAY,,,,,,,,,,,,
