club,world_rank,team_strength,offence,defence
Lech Poznań,103,63.3,68.4,57.4
Raków Częstochowa,167,55.9,59.3,52.2
Jagiellonia Białystok,187,54.3,59.6,48.5
Legia Warszawa,197,53.5,53.8,53.2
Górnik Zabrze,209,52.6,54.1,51.0
Widzew Łódź,220,51.5,50.0,53.0
Cracovia,282,47.0,47.2,46.7
Korona Kielce,283,47.0,48.5,45.4
Pogoń Szczecin,285,46.8,50.9,42.4
Piast Gliwice,299,46.1,49.8,42.2
GKS Katowice,305,45.7,50.3,40.8
Zagłębie Lubin,310,45.6,48.0,43.0
Motor Lublin,325,44.1,50.7,36.9
Radomiak Radom,338,43.2,46.9,39.3
Wisła Kraków,354,42.1,45.8,38.2
Wisła Płock,371,40.8,42.9,38.7
Wieczysta Kraków,381,40.0,42.2,37.8
Śląsk Wrocław,388,39.2,42.0,36.3
