id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
2498,Patrik Wålemark,Lech Poznań,MID,2.3,EXP,,,,9.2,7.6,9,7.3,8.9,6.4,8.9,6.5,63.8
2733,Luis Palma,Lech Poznań,MID,3.5,EXP,,,,7.8,6.5,7.6,6.2,7.5,5.5,7.5,5.6,54.2
1475,Mikael Ishak,Lech Poznań,FWD,4,EXP,,,,7.7,6.5,7.5,6.3,7.5,5.5,7.5,5.6,54.1
2389,Lamine Diaby-Fadiga,Raków Częstochowa,MID,2.1,MAY,,,,7.7,5.7,8.1,4.7,7.8,7.2,3.8,8,53
2933,Oliwier Kwiatkowski,Raków Częstochowa,MID,1.6,NES,,,,7.4,5.4,7.8,4.5,7.5,6.9,3.7,7.7,50.9
2941,Élie Youan,Wisła Kraków,MID,1.9,NES,,,,7.6,4.5,7.9,4.4,4.8,7.9,4.5,7.4,49
2917,Allahyar Sayyadmanesh,Lech Poznań,MID,2.2,NES,,,,6.7,5.7,6.6,5.5,6.5,4.8,6.5,4.9,47.2
2934,Ádin Molnár,Raków Częstochowa,MID,2.1,NES,,,,6.8,5,7.1,4.2,6.9,6.4,3.5,7,46.9
1794,Kamil Grosicki,Pogoń Szczecin,MID,2.5,NES,,,,6,4.3,6.8,4.1,6.9,4.7,6.5,6.5,45.8
2717,Pablo Rodríguez,Lech Poznań,MID,2,EXP,,,,6.5,5.5,6.3,5.3,6.3,4.7,6.3,4.8,45.7
2698,Leo Bengtsson,Lech Poznań,MID,2.4,MAY,,,,6.5,5.5,6.3,5.3,6.3,4.7,6.3,4.7,45.6
2476,Jonatan Braut Brunes,Raków Częstochowa,FWD,3.1,EXP,,,,6.4,4.9,6.7,4.1,6.5,6,3.4,6.6,44.6
2430,Jean-Pierre Nsame,Pogoń Szczecin,FWD,2.1,MAY,,,,5.8,4.2,6.6,4,6.6,4.6,6.3,6.2,44.3
791,Dawid Błanik,Korona Kielce,MID,2.2,EXP,,,,4.1,6.5,6,4.2,6.7,4.8,6.8,5.1,44.2
765,Jesús Imaz,Jagiellonia Białystok,MID,3.5,EXP,,,,6.6,4.9,6.5,6.7,3.6,4,7.1,4.6,44
1712,Joel Pereira,Lech Poznań,DEF,2.1,EXP,,,,6.7,5.1,6.4,4.8,6.4,3.9,6.4,4.1,43.8
2931,Jakub Jendryka,Raków Częstochowa,DEF,1.8,NES,,,,6.7,4.3,7.2,3.2,6.9,6.1,2.3,7.1,43.8
1835,Wahan Biczachczjan,Legia Warszawa,MID,1.8,MAY,,,,4.4,6.7,4.2,6.7,4.2,6.6,4.5,6.1,43.4
2942,Michal Ševčík,Legia Warszawa,MID,2,NES,,,,4.3,6.7,4.2,6.6,4.1,6.5,4.4,6,42.8
2708,Mileta Rajović,Legia Warszawa,FWD,1.9,EXP,,,,4.4,6.5,4.2,6.5,4.2,6.4,4.5,6,42.7
1507,Łukasz Zjawiński,Legia Warszawa,FWD,2.1,NES,,,,4.4,6.5,4.2,6.5,4.2,6.4,4.5,6,42.7
2881,Ángel Rodado,Wisła Kraków,FWD,2.2,MAY,,,,6.5,4,6.8,3.9,4.2,6.7,4,6.3,42.4
2906,Stefan Feiertag,Wieczysta Kraków,FWD,1.9,EXP,,,,5.5,5.2,4.9,4.8,4.7,4.9,7.2,5.1,42.3
2502,Andréas Katsantónis,Piast Gliwice,FWD,1.6,MAY,,,,4.7,6.5,3.5,6.2,5.8,4.7,6,4.8,42.2
95,Karol Świderski,Widzew Łódź,FWD,2.6,NES,,,,6.6,4.8,4.1,6.1,5,5.1,6.6,3.8,42.1
2742,Kahveh Zahiroleslam,Cracovia,FWD,1.7,EXP,,,,3.3,6,4.8,5.7,6.1,4.6,6.2,4.6,41.3
1299,Jean Carlos Silva,Raków Częstochowa,DEF,2.2,EXP,,,,6.3,4,6.8,3,6.4,5.7,2.1,6.7,41
1719,Michael Ameyaw,Raków Częstochowa,MID,2.1,EXP,,,,5.8,4.4,6.1,3.8,5.9,5.5,3.2,6,40.7
2451,Bryan Fiabema,Lech Poznań,FWD,1.8,NES,,,,5.7,5,5.6,4.8,5.5,4.3,5.5,4.3,40.7
2878,Frederico Duarte,Wisła Kraków,MID,2,EXP,,,,6.2,3.8,6.5,3.8,4.1,6.4,3.9,6,40.7
2759,Eman Markovic,GKS Katowice,MID,2.2,EXP,,,,4.2,6.4,6,4.5,6,4.1,4.2,4.4,39.8
392,Filip Jagiełło,Lech Poznań,MID,1.8,MAY,,,,5.5,4.8,5.4,4.6,5.4,4.1,5.4,4.1,39.3
2772,Sergio Lozano,Jagiellonia Białystok,MID,1.9,EXP,,,,5.8,4.4,5.6,5.9,3.3,3.6,6.2,4.1,38.9
2702,Stjepan Davidović,Korona Kielce,MID,1.7,MAY,,,,3.7,5.7,5.2,3.8,5.8,4.3,5.9,4.5,38.9
480,Bartosz Nowak,GKS Katowice,MID,3.3,EXP,,,,4.1,6.2,5.8,4.4,5.9,4,4.1,4.3,38.8
2000,Lisandro Semedo,Wieczysta Kraków,MID,1.8,EXP,,,,5,4.7,4.5,4.4,4.3,4.5,6.5,4.7,38.6
