week,player_id,name,club,position,price,role,transfers_in,transfers_out,hit_taken
1,774,Sebastian Bergier,Widzew Łódź,FWD,2.4,XI (C),,,0
1,1026,Mateusz Lis,Lech Poznań,GK,1.8,XI,,,0
1,1168,Patryk Makuch,Raków Częstochowa,FWD,1.9,XI,,,0
1,1192,Erik Janža,Górnik Zabrze,DEF,2.2,XI,,,0
1,1225,Jan Grzesik,Radomiak Radom,DEF,2.0,XI (VC),,,0
1,1299,Jean Carlos Silva,Raków Częstochowa,DEF,2.2,XI,,,0
1,1926,Roberto Alves,Radomiak Radom,MID,1.8,XI,,,0
1,2498,Patrik Wålemark,Lech Poznań,MID,2.3,XI,,,0
1,2759,Eman Markovic,GKS Katowice,MID,2.2,XI,,,0
1,2880,Marko Bozic,Wisła Kraków,MID,1.8,XI,,,0
1,2906,Stefan Feiertag,Wieczysta Kraków,FWD,1.9,XI,,,0
1,2843,Wiktor Żołneczko,Raków Częstochowa,GK,0.7,BENCH 1,,,0
1,1319,Paweł Wszołek,Legia Warszawa,DEF,2.0,BENCH 2,,,0
1,2781,Žan Rogelj,Wisła Płock,DEF,1.8,BENCH 3,,,0
1,2957,Patryk Dziekoński,Zagłębie Lubin,MID,0.7,BENCH 4,,,0
2,480,Bartosz Nowak,GKS Katowice,MID,3.3,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,774,Sebastian Bergier,Widzew Łódź,FWD,2.4,XI (C),"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,1026,Mateusz Lis,Lech Poznań,GK,1.8,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,1168,Patryk Makuch,Raków Częstochowa,FWD,1.9,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,1225,Jan Grzesik,Radomiak Radom,DEF,2.0,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,1299,Jean Carlos Silva,Raków Częstochowa,DEF,2.2,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,1319,Paweł Wszołek,Legia Warszawa,DEF,2.0,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,1507,Łukasz Zjawiński,Legia Warszawa,FWD,2.1,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
2,1926,Roberto Alves,Radomiak Radom,MID,1.8,XI,"480 - Bartosz Nowak, 1507 - Łukasz Zjawiński","2880 - Marko Bozic, 2906 - Stefan Feiertag",0
